,Brewery,Beer Name,Style,ABV,IBU,SRM
104,Roundhouse Brewery,46 North,Specialty Beer,6.2,14.0,6
105,Breckenridge Brewery,471 Double IPA Small Batch,American-Style India Pale Ale,9.2,70.0,11
106,Sixpoint Brewery,4BEANS,American-Style Imperial Porter,10.0,40.0,41
107,Odell Brewing Company,5 Barrel Pale Ale,Ordinary Bitter,5.2,36.0,25
108,Palmetto Brewing Company,5 Hole Smoked Stout,Smoke Porter,6.5,32.0,31
109,Grand Teton Brewing Company,5 O'clock Shadow,German-Style Schwarzbier,7.6,38.0,40
110,5 Rabbit Cerveceria Inc,5 Rabbit,Golden or Blonde Ale,5.3,30.0,5
111,O'Fallon Brewery,5-Day IPA,American-Style India Pale Ale,6.1,66.0,9
112,Riverport Brewing Company,5/5 Pepper Beer,Field Beer,6.0,30.0,5
113,Triton Brewing Company,500 Monks Strong Belgian Ale,Belgian-Style Pale Ale,8.0,29.0,19
114,Wabash Brewing,503 Amber Ale,American-Style Amber/Red Ale,5.3,34.0,14
115,Mount Shasta Brewing Co,530 Belgian Pale Ale,Belgian-Style Pale Ale,5.3,22.0,9
116,Pocono Brewery Company,57Oatmeal Stout,Oatmeal Stout,6.9,40.0,41
117,Sixpoint Brewery,5BEANS,American-Style Imperial Porter,10.0,38.0,36
118,Abnormal Beer Company,5pm Session Ale,Session Beer,5.2,26.0,4
119,Black Market Brewing Company,5th Anniversary,Indigenous Beer (Lager or Ale),4.8,11.0,15
120,Dogfish Head Craft Brewery,60 Minute IPA,American-Style India Pale Ale,6.0,60.0,9
121,Paddock wood brewing co.,606,English-Style India Pale Ale,5.4,50.0,10
122,Four Seasons Brewing Co.,60° & Snowing,Session Beer,4.2,18.0,4
123,Blue Skye Brewery and Eats,6th St Wheat,Light American Wheat Ale or Lager with Yeast,4.9,18.0,3
124,Blue Skye Brewery and Eats,6th Street Wheat,Light American Wheat Ale or Lager with Yeast,5.12,19.4,4
125,Evil Czech Brewery,7 AM,Oatmeal Stout,7.5,29.0,28
126,The Bruery,7 Grain Saison,French & Belgian-Style Saison,5.0,35.0,6
