,Brewery,Beer Name,Style,ABV,IBU,SRM
1044,Red Brick Brewing Company,Casual,Session India Pale Ale,4.5,30.0,4
1045,Mystery Brewing Company,Caswell,Indigenous Beer (Lager or Ale),5.8,35.0,19
1046,Texas Beer Refinery,Catalyst,Imperial or Double India Pale Ale,9.6,160.0,10
1047,Central Coast Brewing Co,Catch 23,American-Style Black Ale,7.5,77.0,30
1048,Urban Legend Brewing Company,Catherine the Great,Imperial or Double India Pale Ale,8.1,74.0,8
1049,Corcoran Brewing Company,Catoctin Ale,Ordinary Bitter,5.5,38.0,14
1050,Black Tooth Brewing Company,Caught Lookin',Golden or Blonde Ale,4.4,30.0,7
1051,Urban Artifact,Cauldron,Classic Irish-Style Dry Stout,4.1,35.0,41
1052,Riverwatch Brewery,Cautionary Tale,Double Red Ale,7.5,75.0,17
1053,Old Black Bear Brewing Company,Cave City Lager,American-Style Dark Lager,5.2,21.0,21
1054,Sierra Nevada Brewing Company,Celebration Ale,"Fresh ""Wet"" Hop Ale",6.8,65.0,17
1055,Base Camp Brewing Company,Celestial CDL,American-Style Dark Lager,5.1,45.0,41
1056,James River Brewery,Celestial Saison,French & Belgian-Style Saison,6.8,28.0,17
1057,DuClaw Brewing Company,Celtic Fury,Classic Irish-Style Dry Stout,5.0,36.0,41
1058,Sactown Union Brewery,Centennial Falcon,American-Style Pale Ale,5.3,47.0,9
1059,Founders Brewing Company,Centennial IPA,American-Style India Pale Ale,7.2,65.0,9
1060,Thr3e Wise Men Brewing Company,Centennial Martyr Double IPA,Imperial or Double India Pale Ale,8.5,92.0,15
1061,Six Row Brewing Company,Centennial Rye,Rye Ale or Lager with or without Yeast,6.5,27.0,5
1062,Yankee Tank Brewing Company,Centennial Session Ale,American-Style Pale Ale,4.2,33.0,7
1063,High Water Brewing,Central Valley Breakfast Sour,American-Style Sour Ale,6.2,13.0,8
1064,Logsdon Farmhouse Ales,Cerasus,Belgian-Style Flanders Oud Bruin or Oud Red Ales,8.5,18.0,17
1065,Territorial Brewing Company,Cereal City Champagne,Berliner-Style Weisse (Wheat),3.5,3.0,3
1066,Independent Brewing Co.,Cereal Killer,Specialty Stouts,6.7,40.0,38
1067,Saint Patrick's Brewing Company,Cerevisia Amber Lager,Vienna-Style Lager,6.3,36.0,12
1068,Cervecería Calavera,Cerveza De Autor,American-Style Pale Ale,5.4,35.0,10
1069,Yachats Brewing,Cetacea Szechuan Peppercorn Saison,Herb and Spice Beer,6.5,20.0,5
1070,Cogstone Brewing Company,Chai Brown,Herb and Spice Beer,6.0,30.0,18
1071,Stone Brewing,Chai-Spiced Imperial Russian Stout (2015),American-Style Imperial Stout,10.6,65.0,41
1072,Deschutes Brewery,Chainbreaker White IPA,Pale American-Belgo-Style Ale,5.6,55.0,5
1073,Sunriver Brewing Company,Chalk Rock,American-Style Amber/Red Ale,5.6,32.0,14
1074,NoDa Brewing Company,CHAllie Brown,English-Style Brown Ale,4.4,17.0,21
1075,Upland Brewing Company,Champagne Velvet,American-Style Pilsener,5.5,29.0,4
1076,Wild Leap Brew Co.,Chance IPA,American-Style India Pale Ale,5.6,43.3,6
1077,Gibb's Hundred Brewing Company,Chanson de Boheme,Golden or Blonde Ale,6.1,19.0,5
1078,Magic Hat Brewing Company,Chaotic Chemistry,American-Style Barley Wine Ale,9.9,50.0,10
1079,Twisted Manzanita Ales,Chaotic Double India Pale Ale,Imperial or Double India Pale Ale,10.1,93.0,5
1080,Ladyface Ale Companie,Chaparral Saison,French & Belgian-Style Saison,8.7,38.0,4
1081,Silver Moon Brewing,Chapter 2 Casual Ale,Session India Pale Ale,4.7,30.0,4
1082,Maplewood Brewing Company,Charlatan,American-Style Pale Ale,6.1,35.0,7
1083,Brasserie Les 2 Frères,Charles Henri Ambrée,American-Style Amber/Red Ale,6.2,31.0,9
1084,Brasserie Les 2 Frères,Charles Henri White,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.1,19.0,3
1085,Palmetto Brewing Company,Charleston Lager,American-Style Lager,5.4,25.0,5
1086,Dark City Brewing Company,Charrette,Rye Ale or Lager with or without Yeast,7.7,68.0,7
1087,Charter Oak Brewing Company,Charter Oak Abbey Dubbel,Belgian-Style Dubbel,7.5,25.0,30
1088,Charter Oak Brewing Company,Charter Oak Kolsch-Style,German-Style Kölsch / Köln-Style Kölsch,5.0,20.0,5
1089,Charter Oak Brewing Company,Charter Oak Lights Out Stout,American-Style Stout,9.1,50.0,41
1090,Charter Oak Brewing Company,Charter Oak Porter,Brown Porter,5.0,30.0,35
1091,Charter Oak Brewing Company,Charter Oak Royal Charter Pale Ale,American-Style Pale Ale,5.5,45.0,13
1092,Charter Oak Brewing Company,Charter Oak Stout,American-Style Stout,7.0,50.0,41
1093,Charter Oak Brewing Company,Charter Oak's Lights On Summer Ale,Session Beer,4.8,12.7,7
1094,Charter Oak Brewing Company,Charter Oak's Sanford Tavern ESB,Extra Special Bitter,5.0,35.0,10
1095,Charter Oak Brewing Company,Charter Oak's Wadsworth IPA,American-Style India Pale Ale,6.5,65.0,12
1096,Blackstone Brewing Company,Chaser Pale,German-Style Kölsch / Köln-Style Kölsch,5.2,18.0,2
1097,Free Will Brewing Company,Chasing The Dragon,Imperial or Double India Pale Ale,9.9,200.0,8
1098,Free Range Brewing,Chasm Lake Barrel Aged Russian Imperial Stout,Wood- and Barrel-Aged Strong Beer,10.0,71.0,39
1099,Rogue Ales,Chatoe Rogue OREgasmic Ale,American-Style Pale Ale,6.0,40.0,6
1100,Gibb's Hundred Brewing Company,Cherchez La Femme,Sweet or Cream Stout,5.3,23.0,40
1101,Strange Craft Beer Company,Cherry Kriek,Fruit Beer,4.7,15.0,17
1102,Elk Mountain Brewing,Cherry Wheat,Fruit Wheat Ale or Lager with or without Yeast,6.5,17.6,4
1103,Station 26 Brewing Co.,Cherrywood Smoked Red,Wood- and Barrel-Aged Beer,6.0,19.0,12
1104,Ladyface Ale Companie,Chesebro IPA,Imperial or Double India Pale Ale,9.5,100.0,13
1105,Commonwealth Brewing Co.,Cheval de Noir,Belgian-Style Dark Strong Ale,11.1,32.0,27
1106,Chicago Beer Company,Chi Town Lake Shore Lager,American-Style Light (Low Calorie) Lager,5.5,20.0,10
1107,Kinslahger Brewing Company,Chicago Common,Other Strong Ale or Lager,7.4,58.0,13
1108,Byway Brewing,Chicago Daily,American-Style Pale Ale,5.0,35.0,5
1109,Baderbräu,Chicago Pilsner,American-Style Pilsener,4.8,38.0,9
1110,Dogfish Head Craft Brewery,Chicory Stout,American-Style Stout,5.2,21.0,41
1111,Topa Topa Brewing Co.,Chief Peak,American-Style India Pale Ale,7.0,75.0,5
1112,Cherry Street Brewing,Chief Sawnees's Stash Coconut Porter,American-Style Imperial Porter,6.0,29.0,30
1113,Boondocks Brewing,Chief's Cherry Stout,American-Style Stout,8.3,48.0,41
1114,Deadbeach Brewery,ChihuaHefe,South German-Style Hefeweizen / Hefeweissbier,5.64,11.0,4
1115,Hall Brewing Company,Chile Ale,Chili Pepper Beer,5.5,24.0,5
1116,Broken Compass Brewing,Chili Pepper Pale Ale,Field Beer,6.8,30.0,5
1117,Pagosa Brewing & Grill,Chili Verde Cerveza,Field Beer,5.0,40.0,5
1118,Great Lakes Brewing Company,Chillwave,Imperial or Double India Pale Ale,9.4,80.0,6
1119,Tighthead Brewing Company,Chilly Water,American-Style Pale Ale,4.8,40.1,5
1120,Bières de Chimay,Chimay Grande Réserve (Blue),Belgian-Style Pale Strong Ale,9.0,20.0,37
1121,Bières de Chimay,Chimay Première (Red),Belgian-Style Dubbel,7.0,21.0,23
1122,Bend Brewing Company,Ching Ching,American-Style Sour Ale,4.5,5.0,4
1123,Full Pint Brewing Company,Chinookie,American-Style India Pale Ale,7.1,103.1,19
1124,Old Bust Head Brewing Co.,Chinquapin Chestnut Porter,Brown Porter,5.1,28.0,23
1125,Smog City Brewing,Chip Shot Coffee Porter,Herb and Spice Beer,6.0,40.0,30
1126,Byway Brewing,ChiPA,American-Style India Pale Ale,6.5,60.0,7
1127,Rogue Ales,Chipotle Ale,American-Style Amber/Red Ale,5.5,35.0,23
1128,Cogstone Brewing Company,Chips & Salsa Cream Ale,Chili Pepper Beer,5.6,18.0,3
1129,Bandwagon Brew Pub,Chocolate Cherry Porter,Brown Porter,6.2,42.0,41
1130,Broken Compass Brewing,Chocolate Coffee Stout,Coffee-Flavored Beer,6.0,26.0,41
1131,Neptunes Brewery,Chocolate Cream Porter,Brown Porter,7.5,13.0,23
1132,College Street Brewhouse & Pub,Chocolate Devil Stout,Chocolate / Cocoa-Flavored Beer,6.66,19.0,41
1133,Heretic Brewing Company,Chocolate Hazelnut Porter,Chocolate / Cocoa-Flavored Beer,7.0,33.0,40
1134,Brewery Ommegang,Chocolate Indulgence,Foreign (Export)-Style Stout,7.0,3.5,41
1135,Snowy Mountain Brewery,Chocolate Melt Down Porter,Baltic-Style Porter,9.5,34.0,30
1136,Hearthstone Brewery,Chocolate Milk Stout,Sweet or Cream Stout,5.5,19.0,41
1137,Dangerous Man Brewing Company,Chocolate Milk Stout,Sweet or Cream Stout,5.0,38.0,38
1138,Disgruntled Brewing,Chocolate Milk Stout,Sweet or Cream Stout,5.0,35.0,35
1139,Sons of Liberty Aleworks,Chocolate Porter,Robust Porter,6.3,26.0,40
1140,Fort Collins Brewery,Chocolate Stout,American-Style Stout,5.3,33.0,41
1141,Rogue Ales,Chocolate Stout,Specialty Stouts,5.8,69.0,41
1142,Ancestry Brewing,Chocolate Stout,Chocolate / Cocoa-Flavored Beer,7.0,40.0,37
1143,Shannon Brewing Company,Chocolate Stout,Sweet or Cream Stout,5.8,35.0,41
1144,Steel String Brewery,Chocothickfreakness,American-Style Imperial Stout,10.5,71.0,40
1145,Isley Brewing Company,Choosy Mother,Brown Porter,6.6,19.0,41
1146,Doppelleu Brewery,Chopfab Hell,Belgian-Style Pale Ale,5.0,21.0,2
1147,Rip Current Brewing,Choppy Surf Czech-style Pilsner,Bohemian-Style Pilsener,5.3,39.0,4
1148,Fat Point Brewing,Chorange Stout,Sweet or Cream Stout,5.2,33.0,41
1149,Stone Brewing,Chris Banker/Stone/Insurgente Xocoveza Mocha Stout,Sweet or Cream Stout,6.0,50.0,41
1150,Great Lakes Brewing Company,Christmas Ale,Herb and Spice Beer,7.5,30.0,12
1151,Abita Brewing Company,Christmas Ale,Herb and Spice Beer,5.5,38.0,35
1152,Red Hill Brewery,Christmas Ale,Belgian-Style Pale Strong Ale,8.3,30.0,15
1153,Weeping Radish Farm Brewery,Christmas Bier - Winter Doppelbock,German-Style Doppelbock,8.2,34.0,21
1154,Fifty West Brewing Company,Christmas Cookie,Herb and Spice Beer,6.1,28.0,15
1155,Hardywood Park Craft Brewery,Christmas Morning,Specialty Stouts,9.2,55.0,41
1156,The Bruery,Chronology: 6 (2017),Wood- and Barrel-Aged Dark Beer,12.6,35.0,27
1157,Independent Brewing Company,Chu Need? Lager!,American-Style Lager,5.1,15.0,2
1158,Solemn Oath Brewery,Chubgutz,Extra Special Bitter,5.5,45.0,16
1159,Evil Czech Brewery,Chucky,Imperial or Double India Pale Ale,8.0,86.0,9
1160,Old Bust Head Brewing Co.,Chukker Pilsner,International-Style Pilsener,4.4,33.0,5
1161,The Bruery,Chupacabra Quinceañera,Belgian-Style Blonde Ale,6.28,19.7,5
1162,Twisted X Brewing Company,Chupahopra,American-Style India Pale Ale,7.5,63.0,7
1163,Church Street Brewing Company,Church Street Anniversary Special Hell,Bamberg-Style Weiss (Smoke) Rauchbier (Dunkel or Helles),5.5,20.0,6
1164,Barrels & Bottles Brewery,Cin-Ful Porter,Robust Porter,5.0,31.0,34
1165,Boston Beer Company,Cinder Bock,Traditional German-Style Bock,9.4,25.0,25
1166,The Brew on Broadway,Cinderella’s Twin Double IPA,Imperial or Double India Pale Ale,10.2,135.0,11
1167,Ballast Point Brewing Company,Cinnamon Raisin Commodore,American-Style Stout,6.5,60.0,40
1168,Magic Hat Brewing Company,Circus Boy,South German-Style Hefeweizen / Hefeweissbier,4.4,15.0,6
1169,Vault Brewing Company,Citra,American-Style Strong Pale Ale,6.1,73.6,5
1170,Against The Grain Brewery,Citra Ass Down,American-Style India Pale Ale,8.2,68.0,9
1171,Three Pints Brewing Co.,Citra Faced Wheat,Light American Wheat Ale or Lager with Yeast,6.5,4.9,7
1172,Seaquake Brewing,Citra IPA,American-Style India Pale Ale,6.2,63.0,11
1173,Joseph James Brewing Co. Inc.,Citra Rye,American-Style Pale Ale,5.4,58.0,8
1174,Manor Hill Brewing,Citra Splendor,Imperial or Double India Pale Ale,8.3,83.0,9
1175,Gift Horse Brewing Company,Citra Wheat,Light American Wheat Ale or Lager with Yeast,6.0,28.2,4
1176,Skyland Ale Works,CitraDIPAty,Imperial or Double India Pale Ale,8.4,100.0,6
1177,OpenRoad Brewery,Citradisiac,American-Style Pale Ale,5.3,37.3,6
1178,Funk Brewing Company,Citrus,American-Style India Pale Ale,7.0,70.0,13
1179,Dark City Brewing Company,City Limits,American-Style Pale Ale,4.5,47.0,5
1180,Raleigh Brewing Company,City of Blokes Bitter,Extra Special Bitter,4.0,34.0,12
1181,Modern Times Beer,City of the Sun,American-Style India Pale Ale,7.5,85.0,13
1182,Wild Heaven Beer,Civilization,British-Style Barley Wine Ale,12.0,40.0,14
1183,Homestead Beer Co.,Claim Jumper IPA,American-Style India Pale Ale,5.8,81.0,9
1184,Legacy Brewing Company,Clan Ross Scotch Ale,Scotch Ale,8.0,35.0,41
1185,Odyssey Beerwerks,Clan Warrior Scotch Ale,Scotch Ale,9.2,29.0,23
1186,Claremont Craft Ales,Claremont Grapefruit IPA,Imperial or Double India Pale Ale,8.5,100.0,5
1187,DESTIHL Brewery,Clarice,Belgian-Style Dark Strong Ale,10.0,32.0,20
1188,DESTIHL Brewery,Clarice Grand Cru,Belgian-Style Dark Strong Ale,10.0,32.0,21
1189,Deschutes Brewery,Class of '88 Barleywine Style Ale,American-Style Barley Wine Ale,10.0,75.0,8
1190,Blackberry Farm Brewery,Classic Saison,French & Belgian-Style Saison,6.3,31.0,5
1191,Fortnight Brewing Company,Classic Session Ale,Classic English-Style Pale Ale,3.9,27.0,9
1192,Boondocks Brewing,Claybank Kolsch,German-Style Kölsch / Köln-Style Kölsch,4.7,26.0,5
1193,Backwoods Brewing Company,Clear Cut Pale,American-Style Pale Ale,5.8,50.0,4
1194,Wolf's Ridge Brewing,Clear Sky,American-Style Cream Ale or Lager,5.0,14.0,4
1195,Yankee Tank Brewing Company,Cloud 9,American-Style India Pale Ale,6.8,62.0,6
1196,Kane Brewing Co.,Cloud Cover,Belgian-Style White (or Wit) / Belgian-Style Wheat,4.8,14.0,4
1197,Cedar Creek Brewery,Clover Kicker Saison,French & Belgian-Style Saison,6.8,27.0,5
1198,Bang Brewing,Club,American-Style Lager,4.5,19.0,2
1199,Southbound Brewing Company,Clusterflies Farmhouse Ale,French & Belgian-Style Saison,5.6,30.0,4
1200,Heist Brewery,Clyde,American-Style India Pale Ale,6.5,65.0,9
1201,CMG Brewery,CMG Lite,American-Style Amber (Low Calorie) Lager,5.0,21.0,8
1202,Morgantown Brewing Company,Coal City Stout,American-Style Stout,5.6,35.0,41
1203,Front Range Brewing Company,Coal Creek Brown Ale,English-Style Brown Ale,4.5,24.0,24
1204,Roundhouse Brewery,Coal Train Porter,Robust Porter,5.6,44.0,28
1205,Fifty West Brewing Company,Coast to Coast IPA,American-Style India Pale Ale,7.0,70.0,10
1206,Heater Allen Brewery,Coastal,American-Style Amber Lager,5.0,36.0,9
1207,Yachats Brewing,Coastal Dark Ale,American-Style Black Ale,7.5,50.0,37
1208,Coastal Empire Beer Company,Coastal Empire Pale Ale,American-Style Pale Ale,5.8,40.0,11
1209,Uinta Brewing Company,Cockeyed Cooper,Wood- and Barrel-Aged Beer,11.1,65.0,41
1210,NoDa Brewing Company,Coco Loco,Robust Porter,6.2,40.0,32
1211,Devils Backbone Brewing Company,Cocoa Bear,American-Style Imperial Stout,11.0,50.0,41
1212,DuClaw Brewing Company,Cocoa Fuego,Specialty Stouts,7.5,85.0,41
1213,Roosterfish Brewing Co.,Cocoa Porter,Brown Porter,6.3,29.5,30
1214,BrewDog,Cocoa Psycho,Specialty Stouts,10.0,330.0,40
1215,Cogstone Brewing Company,Coconut Brown,Field Beer,6.0,25.0,18
1216,Maui Brewing Co.,Coconut Hiwa Porter,Robust Porter,6.0,30.0,40
1217,Broken Compass Brewing,Coconut Porter,Field Beer,4.8,27.0,26
1218,Crystal Ball Brewing Company,Coconut Porter,Brown Porter,5.2,24.0,30
1219,Cheluna Brewing,CocoXoco,Brown Porter,7.0,20.0,37
1220,Fortnight Brewing Company,Coffee Amber,American-Style Amber/Red Ale,5.5,40.0,17
1221,Surly Brewing Company,Coffee Bender,American-Style Brown Ale,5.5,45.0,41
1222,Claremont Craft Ales,Coffee Del,Coffee-Flavored Beer,7.1,77.0,9
1223,Raleigh Brewing Company,Coffee Hidden Pipe Porter,Robust Porter,6.3,34.0,38
1224,Fifty West Brewing Company,Coffee Please,Coffee-Flavored Beer,7.1,72.0,30
1225,Dodgeton Creek Brewing Company,Coffee Porter,Coffee-Flavored Beer,6.0,30.0,33
1226,Real Ale Brewing Company,Coffee Porter,Robust Porter,6.6,35.0,40
1227,Smog City Brewing,Coffee Porter,Coffee-Flavored Beer,6.0,40.0,35
1228,Drekker Brewing Company,Coffee Rudder,Coffee-Flavored Beer,5.0,25.0,10
1229,Buckeye Lake Brewery,Coffee Stout,American-Style Stout,5.6,27.0,35
1230,The Saint Louis Brewery (Schlafly),Coffee Stout,Coffee-Flavored Beer,5.7,30.0,41
1231,Westport Brewing Company,Cohasset Cream,American-Style Cream Ale or Lager,4.9,20.5,3
1232,Empirical Brewery,Cold Fusion Cream Ale,American-Style Cream Ale or Lager,5.2,18.0,4
1233,Rockslide Brewing Co,Cold Shivers Pale ale,American-Style Pale Ale,6.1,37.0,8
1234,Boulevard Brewing Company,Collaboration No. 2 - White IPA,American-Style India Pale Ale,7.4,42.0,10
1235,College Street Brewhouse & Pub,College Street Light,American-Style Light (Low Calorie) Lager,4.1,12.0,3
1236,Natty Greene's Brewing Co.,Colony 9,American-Style Stout,5.5,32.0,41
1237,Grimm Artisanal Ales,Color Field,Wild Beer,5.2,5.0,6
1238,Bonfire Brewing,Coloradler Ale with Lemon and Mint,German-Style Kölsch / Köln-Style Kölsch,6.1,16.6,4
1239,Station 26 Brewing Co.,Colorado Cream Ale,American-Style Cream Ale or Lager,5.1,15.0,4
1240,Tommyknocker Brewery,Colorado IPA Nouveau,"Fresh ""Wet"" Hop Ale",7.0,80.0,15
1241,Steamworks Brewing Company,Colorado Kölsch,German-Style Kölsch / Köln-Style Kölsch,4.85,17.0,3
1242,AC Golden Brewing Company,Colorado Native Winterfest,Vienna-Style Lager,7.0,24.0,21
1243,Resolute Brewing Company,Colorado Roots Blonde,Golden or Blonde Ale,6.0,30.0,4
1244,Tighthead Brewing Company,Comfortably Blonde,Golden or Blonde Ale,4.8,19.8,3
1245,Real Ale Brewing Company,Commissar,American-Style Imperial Stout,9.8,75.0,41
1246,Great Lakes Brewing Company,Commodore Perry,American-Style India Pale Ale,7.7,70.0,15
1247,Great Lakes Brewing Company,Commodore Perry with Grapefruit Peel,American-Style India Pale Ale,7.5,80.0,15
1248,Fort Collins Brewery,Common Ground,American-Style Amber/Red Ale,5.3,15.0,12
1249,Hearthstone Brewery,Common Man,Session Beer,5.3,33.0,11
1250,Minglewood Brewery,Common Sense,Historical Beer,4.8,19.0,18
1251,Bandwagon Brew Pub,Commons Ale,American-Style Pale Ale,4.2,23.0,6
1252,Corcoran Brewing Company,Commonwealth,German-Style Kölsch / Köln-Style Kölsch,5.0,22.0,4
1253,Lost Province Brewing Co,Compass Rose Amber,American-Style Amber/Red Ale,5.5,34.0,13
1254,Pollyanna Brewing Company,CONDEMNATION,Other Belgian-Style Ales,8.0,25.0,4
1255,Steamworks Brewing Company,Conductor,Imperial or Double India Pale Ale,9.1,81.0,12
1256,Steamworks Brewing Company,Conductor Imperial IPA,Imperial or Double India Pale Ale,9.24,81.8,12
1257,Tired Hands Brewing Company,Confrontation Of The Unconscious,French & Belgian-Style Saison,6.8,32.0,17
1258,Anaheim Brewery,Conrad’s Kölsch,German-Style Kölsch / Köln-Style Kölsch,5.5,25.0,3
1259,Conshohocken Brewing Company,Conshy Blonde,Golden or Blonde Ale,5.0,26.0,4
1260,Church Street Brewing Company,Continental Lager,Vienna-Style Lager,5.3,39.0,7
1261,Werk Force Brewing Co.,Contra,French & Belgian-Style Saison,6.6,27.2,7
1262,Legal Remedy Brewing Co.,Convicted Kiwi Pale Ale,American-Style Pale Ale,6.0,26.5,11
1263,Great Lakes Brewing Company,Conway's Irish Ale,Irish-Style Red Ale,6.5,25.0,22
1264,Third Street Brewhouse,Cool Beans,Coffee-Flavored Beer,9.1,42.0,40
1265,Copper Canyon Brewing Co.,Copper Canyon Pub Ale,Ordinary Bitter,4.1,21.0,11
1266,McMenamins Breweries,Copper Kettle ESB,Extra Special Bitter,5.4,37.0,11
1267,McMenamins Breweries,Copper Moon,American-Style Amber/Red Ale,5.03,47.0,7
1268,450 North Brewing Company,Copperhead,Belgian-Style Flanders Oud Bruin or Oud Red Ales,5.2,18.0,11
1269,Cellar Dweller,Copperhead,American-Style Pale Ale,6.1,36.5,8
1270,Backwoods Brewing Company,Copperline Amber Ale,American-Style Amber/Red Ale,5.5,20.0,10
1271,Blue Pants Brewery,Corduroy Rye,Rye Ale or Lager with or without Yeast,7.0,70.0,10
1272,Corcoran Brewing Company,Corky’s Irish Red,Irish-Style Red Ale,4.9,20.0,14
1273,Weeping Radish Farm Brewery,Corolla Gold,Münchner (Munich)-Style Helles,5.0,21.0,5
1274,Coronado Brewing Company,Coronado Golden,German-Style Pilsener,4.9,26.0,3
1275,Wander Brewing,Correspondent Foreign Extra Stout,Foreign (Export)-Style Stout,6.4,40.0,40
1276,Laughing Sun Brewing Company,Cosmic Owl,Belgian-Style Pale Ale,5.0,30.0,6
1277,The Bruery,Coton (2010),Old Ale,14.5,45.0,22
1278,TUPPS Brewery,Cotton Mill Gold,American-Style Pale Ale,6.0,38.9,7
1279,Haw River Farmhouse Ales,Cotton Pickin' Farmhouse IPA,Imperial or Double India Pale Ale,8.2,85.0,9
1280,The Bakers' Brewery,Cottonmouth Killer,Session India Pale Ale,4.9,37.0,5
1281,Foothills Brewing Company,Cottonwood Endo India Pale Ale,American-Style India Pale Ale,5.9,66.0,5
1282,Foothills Brewing Company,Cottonwood Low Down,American-Style Brown Ale,5.6,40.0,16
1283,Foothills Brewing Company,Cottonwood Pumpkin Ale,Pumpkin Beer,5.3,5.2,7
1284,Otter Creek Brewing,Couch Surfer,Oatmeal Stout,5.4,32.0,41
1285,Lost Province Brewing Co,Councill's Store Cream Ale,American-Style Cream Ale or Lager,5.4,12.0,3
1286,DESTIHL Brewery,Counter Clockweisse,Berliner-Style Weisse (Wheat),3.0,4.0,3
1287,Tennessee Brew Works,Country Roots,Field Beer,5.5,30.0,41
1288,Ursula Brewery,Covalent,Imperial or Double India Pale Ale,10.0,84.0,4
1289,Old Rail Brewing Co.,Cow Catcher Milk Stout,Sweet or Cream Stout,5.7,29.0,40
1290,Twisted X Brewing Company,Cow Creek,American-Style Amber Lager,5.7,17.0,14
1291,Big Sky Brewing,Cowboy Coffee Porter,Brown Porter,6.2,32.0,30
1292,Roundhouse Brewery,Cowcatcher Ale,California Common Beer,5.2,35.0,11
1293,Smartmouth Brewing Company,Cowcatcher Milk Stout,Sweet or Cream Stout,5.5,27.0,41
1294,Aviator Brewing Company,Crackpot Pils,Bohemian-Style Pilsener,5.2,41.0,3
1295,Grist Brewing Company,Craft Lager,American-Style Light (Low Calorie) Lager,4.0,11.0,3
1296,GAEL Brewing Company,Craic! Vanilla Cream Ale,American-Style Cream Ale or Lager,5.8,22.0,4
1297,Riff Raff Brewing,Cran-Spruce Juice Ale,Old Ale,6.0,32.0,7
1298,Boulevard Brewing Company,Cranberry Orange Radler,Fruit Beer,4.05,12.0,20
1299,Braxton Brewing Company,Crank Shaft,American-Style India Pale Ale,6.0,75.0,10
1300,Prairie Sun Brewery,CRAZY FARM ALE,French & Belgian-Style Saison,6.0,29.0,5
1301,Silver Moon Brewing,Crazy Horse,Imperial or Double India Pale Ale,8.9,100.0,5
1302,Crazy Mountain Brewing,Crazy Mountain Amber Ale,American-Style Amber/Red Ale,5.25,25.0,11
1303,Aviator Brewing Company,Crazy Pils,Bohemian-Style Pilsener,5.2,24.0,2
1304,Prairie Fire Brewing Company,Crazy Seven Cream,American-Style Cream Ale or Lager,4.3,8.38,3
1305,Ancestry Brewing,Cream Ale,Golden or Blonde Ale,5.0,20.0,5
1306,Bluebonnet Beer Company,Cream Ale,American-Style Cream Ale or Lager,5.7,15.0,3
1307,Cogstone Brewing Company,Cream Ale,American-Style Cream Ale or Lager,5.6,18.0,3
1308,Six Row Brewing Company,Cream Ale,American-Style Cream Ale or Lager,4.7,17.0,3
1309,Laughing Dog Brewing,Cream Ale,American-Style Cream Ale or Lager,5.0,12.0,4
1310,Blind Squirrel,Cream Ale,American-Style Cream Ale or Lager,5.0,19.0,3
1311,Dangerous Man Brewing Company,Cream Ale,American-Style Cream Ale or Lager,6.3,20.0,2
1312,Pigskin Brewing Company,Cream of the Crop,American-Style Lager,5.2,15.0,4
1313,Sick N Twisted Brewing Co.,Creamy Wet Spot,American-Style Cream Ale or Lager,5.45,9.7,4
1314,Crazy Mountain Brewing,Creedence Pilsner,Bohemian-Style Pilsener,4.9,35.0,3
1315,Neshaminy Creek Brewing Company,Creekfestbier Lager,German-Style Märzen,5.2,20.9,13
1316,Creemore Spring Brewery,Creemore Springs Kellerbier,Specialty Beer,5.0,30.0,10
1317,Creemore Spring Brewery,Creemore Springs Premium Lager,American-Style Premium Lager,5.0,24.0,8
1318,Creemore Spring Brewery,Creemore Springs Traditional Pilsner,Bohemian-Style Pilsener,5.3,26.0,6
1319,Creemore Spring Brewery,Creemore Springs urBock,Traditional German-Style Bock,6.0,28.0,30
1320,Tap & Screw Brewery,Cremerick,American-Style Cream Ale or Lager,5.0,13.0,6
1321,Abita Brewing Company,Creole Cream Ale,American-Style Cream Ale or Lager,5.0,13.0,4
1322,Aviator Brewing Company,Cretaceous Black IPA,American-Style India Pale Ale,5.3,183.0,40
1323,Twisted Spike Brewing Company,Crew,German-Style Kölsch / Köln-Style Kölsch,4.8,22.0,4
1324,Land-Grant Brewing Company,Crew Black CB01,Brown Porter,4.7,30.0,30
1325,Black Warrior Brewing Company,Crimson Ale,Irish-Style Red Ale,5.2,22.0,20
1326,Church Street Brewing Company,Crimson Clover Red Irish Ale,Irish-Style Red Ale,5.5,38.0,34
1327,Scenic Brewing Company,Crimson Harvest Wheat,Light American Wheat Ale or Lager with Yeast,6.0,24.0,9
1328,Category 12,Critical Point,American-Style Pale Ale,5.6,49.0,8
1329,Fair State Brewing Cooperative,Cromulence,American-Style Sour Ale,4.0,10.0,5
1330,No-Li Brewhouse,Crony,American-Style Brown Ale,5.1,30.0,37
1331,The Monk's Cellar,Crooked Bridge ESB,Extra Special Bitter,5.1,30.0,9
1332,Sunken City Brewing Company,Crooked Road Cream Ale,American-Style Cream Ale or Lager,5.3,13.9,3
1333,Cosmos Brewing,Crop Formation,Belgian-Style White (or Wit) / Belgian-Style Wheat,6.0,18.0,7
1334,Green Beacon Brewing Co,Cross Knot Kolsch,German-Style Kölsch / Köln-Style Kölsch,4.4,23.9,7
1335,Cerveza Urbana,Cross Over Ipa,American-Style India Pale Ale,6.5,42.0,7
1336,The Black Abbey Brewing Company,Cross Roads,American-Style Cream Ale or Lager,4.9,21.0,2
